Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202308052350,The Peak,26.2
202308052350,The Peak,26.2
202308052350,The Peak,26.2
202308052350,The Peak,26.2
202308052350,The Peak,26.2
202308052350,The Peak,26.2
202308060000,The Peak,26.1
202308060000,The Peak,26.1
202308060000,The Peak,26.1
202308060000,The Peak,26.1
202308060000,The Peak,26.1
202308060010,The Peak,26.1
202308060010,The Peak,26.1
202308060010,The Peak,26.1
202308060010,The Peak,26.1
202308060010,The Peak,26.1
202308060020,The Peak,26.1
202308060020,The Peak,26.1
202308060030,The Peak,26.1
202308060030,The Peak,26.1
202308060030,The Peak,26.1
202308060030,The Peak,26.1
202308060040,The Peak,26.1
202308060040,The Peak,26.1
202308060040,The Peak,26.1
202308060040,The Peak,26.1
202308060040,The Peak,26.1
202308060050,The Peak,26.0
202308060050,The Peak,26.0
202308060050,The Peak,26.0
202308060100,The Peak,26.0
202308060100,The Peak,26.0
202308060100,The Peak,26.0
202308060100,The Peak,26.0
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060110,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060120,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060130,The Peak,26.1
202308060140,The Peak,26.1
202308060140,The Peak,26.1
202308060140,The Peak,26.1
202308060140,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060150,The Peak,26.1
202308060200,The Peak,26.1
202308060200,The Peak,26.1
202308060200,The Peak,26.1
202308060200,The Peak,26.1
202308060210,The Peak,26.1
202308060210,The Peak,26.1
202308060210,The Peak,26.1
202308060210,The Peak,26.1
202308060220,The Peak,26.0
202308060220,The Peak,26.0
202308060220,The Peak,26.0
202308060220,The Peak,26.0
202308060220,The Peak,26.0
202308060230,The Peak,26.0
202308060230,The Peak,26.0
202308060230,The Peak,26.0
202308060230,The Peak,26.0
202308060240,The Peak,26.0
202308060240,The Peak,26.0
202308060240,The Peak,26.0
202308060240,The Peak,26.0
202308060240,The Peak,26.0
202308060240,The Peak,26.0
202308060250,The Peak,25.9
202308060250,The Peak,25.9
202308060250,The Peak,25.9
202308060300,The Peak,25.9
202308060300,The Peak,25.9
202308060300,The Peak,25.9
202308060300,The Peak,25.9
202308060300,The Peak,25.9
202308060310,The Peak,25.9
202308060310,The Peak,25.9
202308060310,The Peak,25.9
202308060310,The Peak,25.9
202308060310,The Peak,25.9
202308060310,The Peak,25.9
202308060320,The Peak,25.9
202308060320,The Peak,25.9
202308060320,The Peak,25.9
202308060320,The Peak,25.9
202308060330,The Peak,25.9
202308060330,The Peak,25.9
202308060330,The Peak,25.9
202308060330,The Peak,25.9
202308060340,The Peak,25.9
202308060340,The Peak,25.9
202308060340,The Peak,25.9
202308060340,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060350,The Peak,25.9
202308060400,The Peak,25.9
202308060400,The Peak,25.9
202308060400,The Peak,25.9
202308060400,The Peak,25.9
202308060400,The Peak,25.9
202308060400,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060410,The Peak,25.9
202308060420,The Peak,25.9
202308060420,The Peak,25.9
202308060420,The Peak,25.9
202308060420,The Peak,25.9
202308060420,The Peak,25.9
202308060430,The Peak,25.9
202308060430,The Peak,25.9
202308060430,The Peak,25.9
202308060430,The Peak,25.9
202308060430,The Peak,25.9
202308060430,The Peak,25.9
202308060440,The Peak,25.9
202308060440,The Peak,25.9
202308060450,The Peak,25.9
202308060450,The Peak,25.9
202308060450,The Peak,25.9
202308060450,The Peak,25.9
202308060450,The Peak,25.9
202308060450,The Peak,25.9
202308060500,The Peak,25.9
202308060500,The Peak,25.9
202308060500,The Peak,25.9
202308060500,The Peak,25.9
202308060500,The Peak,25.9
202308060510,The Peak,25.8
202308060510,The Peak,25.8
202308060510,The Peak,25.8
202308060510,The Peak,25.8
202308060520,The Peak,25.8
202308060520,The Peak,25.8
202308060520,The Peak,25.8
202308060520,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060530,The Peak,25.8
202308060540,The Peak,25.8
202308060540,The Peak,25.8
202308060540,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060550,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060600,The Peak,25.8
202308060610,The Peak,25.8
202308060610,The Peak,25.8
202308060610,The Peak,25.8
202308060610,The Peak,25.8
202308060620,The Peak,25.8
202308060620,The Peak,25.8
202308060620,The Peak,25.8
202308060620,The Peak,25.8
202308060620,The Peak,25.8
202308060620,The Peak,25.8
202308060630,The Peak,25.9
202308060630,The Peak,25.9
202308060630,The Peak,25.9
202308060630,The Peak,25.9
202308060630,The Peak,25.9
202308060640,The Peak,25.8
202308060640,The Peak,25.8
202308060640,The Peak,25.8
202308060640,The Peak,25.8
202308060640,The Peak,25.8
202308060640,The Peak,25.8
202308060650,The Peak,25.9
202308060650,The Peak,25.9
202308060650,The Peak,25.9
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060700,The Peak,25.8
202308060710,The Peak,25.8
202308060710,The Peak,25.8
202308060710,The Peak,25.8
202308060710,The Peak,25.8
202308060720,The Peak,25.9
202308060720,The Peak,25.9
202308060720,The Peak,25.9
202308060720,The Peak,25.9
202308060720,The Peak,25.9
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060730,The Peak,26.0
202308060740,The Peak,26.0
202308060740,The Peak,26.0
202308060740,The Peak,26.0
202308060740,The Peak,26.0
202308060750,The Peak,26.0
202308060750,The Peak,26.0
202308060750,The Peak,26.0
202308060750,The Peak,26.0
202308060750,The Peak,26.0
202308060750,The Peak,26.0
202308060800,The Peak,26.0
202308060800,The Peak,26.0
202308060800,The Peak,26.0
202308060800,The Peak,26.0
202308060810,The Peak,26.0
202308060810,The Peak,26.0
202308060810,The Peak,26.0
202308060810,The Peak,26.0
202308060820,The Peak,26.1
202308060820,The Peak,26.1
202308060820,The Peak,26.1
202308060820,The Peak,26.1
202308060830,The Peak,26.3
202308060830,The Peak,26.3
202308060830,The Peak,26.3
202308060830,The Peak,26.3
202308060830,The Peak,26.3
202308060840,The Peak,26.2
202308060840,The Peak,26.2
202308060840,The Peak,26.2
202308060840,The Peak,26.2
