Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius),Air Temperature(degree Celsius)
437549438,The Peak,17.1,11.4,14.25
437549438,The Peak,17.1,11.4,14.25
437557088,The Peak,17.1,11.4,14.25
437557088,The Peak,17.1,11.4,14.25
437557098,The Peak,14.5,14.4,14.45
437557098,The Peak,14.5,14.4,14.45
437557108,The Peak,14.5,14.3,14.4
437557108,The Peak,14.5,14.3,14.4
437557118,The Peak,14.5,14.2,14.35
437557118,The Peak,14.5,14.2,14.35
437557128,The Peak,14.5,14.2,14.35
437557128,The Peak,14.5,14.2,14.35
437557138,The Peak,14.6,14.2,14.399999999999999
437557138,The Peak,14.6,14.2,14.399999999999999
437557188,The Peak,14.6,14.2,14.399999999999999
437557188,The Peak,14.6,14.2,14.399999999999999
437557198,The Peak,14.6,14.2,14.399999999999999
437557198,The Peak,14.6,14.2,14.399999999999999
437557208,The Peak,14.6,14.2,14.399999999999999
437557208,The Peak,14.6,14.2,14.399999999999999
437557218,The Peak,14.6,14.2,14.399999999999999
437557218,The Peak,14.6,14.2,14.399999999999999
437557228,The Peak,14.6,14.2,14.399999999999999
437557228,The Peak,14.6,14.2,14.399999999999999
437557238,The Peak,14.6,14.2,14.399999999999999
437557238,The Peak,14.6,14.2,14.399999999999999
437557288,The Peak,14.6,14.2,14.399999999999999
437557288,The Peak,14.6,14.2,14.399999999999999
437557298,The Peak,14.6,14.2,14.399999999999999
437557298,The Peak,14.6,14.2,14.399999999999999
437557308,The Peak,14.6,14.2,14.399999999999999
437557308,The Peak,14.6,14.2,14.399999999999999
437557318,The Peak,14.6,14.2,14.399999999999999
437557318,The Peak,14.6,14.2,14.399999999999999
437557328,The Peak,14.6,14.2,14.399999999999999
437557328,The Peak,14.6,14.2,14.399999999999999
437557338,The Peak,14.6,14.2,14.399999999999999
437557338,The Peak,14.6,14.2,14.399999999999999
437557388,The Peak,14.6,14.2,14.399999999999999
437557388,The Peak,14.6,14.2,14.399999999999999
437557398,The Peak,14.6,14.2,14.399999999999999
437557398,The Peak,14.6,14.2,14.399999999999999
437557408,The Peak,14.6,14.2,14.399999999999999
437557408,The Peak,14.6,14.2,14.399999999999999
437557418,The Peak,14.6,14.2,14.399999999999999
437557418,The Peak,14.6,14.2,14.399999999999999
437557428,The Peak,14.6,14.2,14.399999999999999
437557428,The Peak,14.6,14.2,14.399999999999999
437557438,The Peak,14.6,14.2,14.399999999999999
437557438,The Peak,14.6,14.2,14.399999999999999
437557488,The Peak,14.6,14.2,14.399999999999999
437557488,The Peak,14.6,14.2,14.399999999999999
437557498,The Peak,14.6,14.1,14.35
437557498,The Peak,14.6,14.1,14.35
437557508,The Peak,14.6,14.1,14.35
437557508,The Peak,14.6,14.1,14.35
437557518,The Peak,14.6,14.1,14.35
437557518,The Peak,14.6,14.1,14.35
437557528,The Peak,14.6,14.1,14.35
437557528,The Peak,14.6,14.1,14.35
437557538,The Peak,14.6,14.1,14.35
437557538,The Peak,14.6,14.1,14.35
437557588,The Peak,14.6,14.1,14.35
437557588,The Peak,14.6,14.1,14.35
437557598,The Peak,14.6,14.1,14.35
437557598,The Peak,14.6,14.1,14.35
437557608,The Peak,14.6,14.1,14.35
437557608,The Peak,14.6,14.1,14.35
